ProductionId,ArrayId,Date,Hour,IrradianceWm2,PowerOutputKW,PerformanceRatio,ModuleTempC,InverterEfficiency,GridFrequencyHz
EP-00046,MARVILLE-PV-02,2025-12-01,8,328,5484.2,0.77,27,97.8,49.98
EP-00047,MARVILLE-PV-02,2025-12-01,10,696,11788.3,0.78,40,97.9,50
EP-00048,MARVILLE-PV-02,2025-12-01,12,974,16708.3,0.79,53,98,50.02
EP-00049,MARVILLE-PV-02,2025-12-01,14,796,13827.7,0.8,51,98,50.04
EP-00050,MARVILLE-PV-02,2025-12-01,16,414,7281.7,0.81,36,98,49.96
EP-00051,MARVILLE-PV-03,2025-12-01,8,312,5555.4,0.82,27,98.1,49.98
EP-00052,MARVILLE-PV-03,2025-12-01,10,680,12255.6,0.83,40,98.1,50
EP-00053,MARVILLE-PV-03,2025-12-01,12,958,17473.9,0.84,53,98.2,50.02
EP-00054,MARVILLE-PV-03,2025-12-01,14,836,13796.4,0.76,51,98.2,50.04
EP-00055,MARVILLE-PV-03,2025-12-01,16,454,7590.9,0.77,36,98.3,49.96
EP-00056,MARVILLE-PV-04,2025-12-01,8,296,5013.4,0.78,27,98.4,49.98
EP-00057,MARVILLE-PV-04,2025-12-01,10,664,11390.5,0.79,40,98.4,50
EP-00058,MARVILLE-PV-04,2025-12-01,12,942,16363.9,0.8,53,98.4,50.02
EP-00059,MARVILLE-PV-04,2025-12-01,14,820,14422.6,0.81,51,98.5,50.04
EP-00060,MARVILLE-PV-04,2025-12-01,16,438,7798.9,0.82,36,97.8,49.96
EP-00061,MARVILLE-PV-05,2025-12-01,8,336,6055.7,0.83,27,97.8,49.98
EP-00062,MARVILLE-PV-05,2025-12-01,10,704,12841,0.84,40,97.9,50
EP-00063,MARVILLE-PV-05,2025-12-01,12,926,15281.7,0.76,53,98,50.02
EP-00064,MARVILLE-PV-05,2025-12-01,14,804,13442.9,0.77,51,98,50.04
EP-00065,MARVILLE-PV-05,2025-12-01,16,422,7147.5,0.78,36,98,49.96
EP-00066,MARVILLE-PV-06,2025-12-01,8,320,5489.4,0.79,27,98.1,49.98
EP-00067,MARVILLE-PV-06,2025-12-01,10,688,11951.6,0.8,40,98.1,50
EP-00068,MARVILLE-PV-06,2025-12-01,12,966,16990.6,0.81,53,98.2,50.02
EP-00069,MARVILLE-PV-06,2025-12-01,14,844,15028,0.82,51,98.2,50.04
EP-00070,MARVILLE-PV-06,2025-12-01,16,406,7317.3,0.83,36,98.3,49.96
EP-00071,MARVILLE-PV-07,2025-12-01,8,304,5545,0.84,27,98.4,49.98
EP-00072,MARVILLE-PV-07,2025-12-01,10,672,11089.9,0.76,40,98.4,50
EP-00073,MARVILLE-PV-07,2025-12-01,12,950,15884,0.77,53,98.4,50.02
EP-00074,MARVILLE-PV-07,2025-12-01,14,828,14024,0.78,51,98.5,50.04
EP-00075,MARVILLE-PV-07,2025-12-01,16,446,7650.8,0.79,36,97.8,49.96
EP-00076,TOUL-PV-01,2025-12-01,8,344,5274.7,0.8,27,97.8,49.98
EP-00077,TOUL-PV-01,2025-12-01,10,656,10184.4,0.81,40,97.9,50
EP-00078,TOUL-PV-01,2025-12-01,12,934,14679.4,0.82,53,98,50.02
EP-00079,TOUL-PV-01,2025-12-01,14,812,12917.6,0.83,51,98,50.04
EP-00080,TOUL-PV-01,2025-12-01,16,430,6923,0.84,36,98,49.96
EP-00081,TOUL-PV-02,2025-12-01,8,328,4777.9,0.76,27,98.1,49.98
EP-00082,TOUL-PV-02,2025-12-01,10,696,10271.8,0.77,40,98.1,50
EP-00083,TOUL-PV-02,2025-12-01,12,974,14561.3,0.78,53,98.2,50.02
EP-00084,TOUL-PV-02,2025-12-01,14,796,12052.8,0.79,51,98.2,50.04
EP-00085,TOUL-PV-02,2025-12-01,16,414,6348,0.8,36,98.3,49.96
EP-00086,TOUL-PV-03,2025-12-01,8,312,4843.8,0.81,27,98.4,49.98
EP-00087,TOUL-PV-03,2025-12-01,10,680,10687.4,0.82,40,98.4,50
EP-00088,TOUL-PV-03,2025-12-01,12,958,15240.2,0.83,53,98.4,50.02
EP-00089,TOUL-PV-03,2025-12-01,14,836,13459.6,0.84,51,98.5,50.04
EP-00090,TOUL-PV-03,2025-12-01,16,454,6613.3,0.76,36,97.8,49.96
EP-00091,TOUL-PV-04,2025-12-01,8,296,4368.5,0.77,27,97.8,49.98
EP-00092,TOUL-PV-04,2025-12-01,10,664,9926.8,0.78,40,97.9,50
EP-00093,TOUL-PV-04,2025-12-01,12,942,14263.5,0.79,53,98,50.02
EP-00094,TOUL-PV-04,2025-12-01,14,820,12573.4,0.8,51,98,50.04
EP-00095,TOUL-PV-04,2025-12-01,16,438,6800,0.81,36,98,49.96
EP-00096,TOUL-PV-05,2025-12-01,8,336,5280.8,0.82,27,98.1,49.98
EP-00097,TOUL-PV-05,2025-12-01,10,704,11199.5,0.83,40,98.1,50
EP-00098,TOUL-PV-05,2025-12-01,12,926,14908.6,0.84,53,98.2,50.02
EP-00099,TOUL-PV-05,2025-12-01,14,804,11711.6,0.76,51,98.2,50.04
EP-00100,TOUL-PV-05,2025-12-01,16,422,6228,0.77,36,98.3,49.96
EP-00101,TOUL-PV-06,2025-12-01,8,320,4784,0.78,27,98.4,49.98
EP-00102,TOUL-PV-06,2025-12-01,10,688,10417.5,0.79,40,98.4,50
EP-00103,TOUL-PV-06,2025-12-01,12,966,14812,0.8,53,98.4,50.02
EP-00104,TOUL-PV-06,2025-12-01,14,844,13103.1,0.81,51,98.5,50.04
EP-00105,TOUL-PV-06,2025-12-01,16,406,6381,0.82,36,97.8,49.96
EP-00106,MEES-PV-01,2025-12-01,8,304,4205.3,0.83,27,97.8,49.98
EP-00107,MEES-PV-01,2025-12-01,10,672,9408,0.84,40,97.9,50
EP-00108,MEES-PV-01,2025-12-01,12,950,12033.4,0.76,53,98,50.02
EP-00109,MEES-PV-01,2025-12-01,14,828,10626,0.77,51,98,50.04
EP-00110,MEES-PV-01,2025-12-01,16,446,5798,0.78,36,98,49.96
EP-00111,MEES-PV-02,2025-12-01,8,344,4529.3,0.79,27,98.1,49.98
EP-00112,MEES-PV-02,2025-12-01,10,656,8746.7,0.8,40,98.1,50
EP-00113,MEES-PV-02,2025-12-01,12,934,12609,0.81,53,98.2,50.02
EP-00114,MEES-PV-02,2025-12-01,14,812,11097.4,0.82,51,98.2,50.04
EP-00115,MEES-PV-02,2025-12-01,16,430,5948.3,0.83,36,98.3,49.96
EP-00116,MEES-PV-03,2025-12-01,8,328,4592,0.84,27,98.4,49.98
EP-00117,MEES-PV-03,2025-12-01,10,696,8816,0.76,40,98.4,50
EP-00118,MEES-PV-03,2025-12-01,12,974,12499.7,0.77,53,98.4,50.02
EP-00119,MEES-PV-03,2025-12-01,14,796,10348,0.78,51,98.5,50.04
EP-00120,MEES-PV-03,2025-12-01,16,414,5451,0.79,36,97.8,49.96
EP-00121,MEES-PV-04,2025-12-01,8,312,4160,0.8,27,97.8,49.98
EP-00122,MEES-PV-04,2025-12-01,10,680,9180,0.81,40,97.9,50
EP-00123,MEES-PV-04,2025-12-01,12,958,13092.7,0.82,53,98,50.02
EP-00124,MEES-PV-04,2025-12-01,14,836,11564.7,0.83,51,98,50.04
EP-00125,MEES-PV-04,2025-12-01,16,454,6356,0.84,36,98,49.96
EP-00126,MEES-PV-05,2025-12-01,8,296,3749.3,0.76,27,98.1,49.98
EP-00127,MEES-PV-05,2025-12-01,10,664,8521.4,0.77,40,98.1,50
EP-00128,MEES-PV-05,2025-12-01,12,942,12246,0.78,53,98.2,50.02
EP-00129,MEES-PV-05,2025-12-01,14,820,10796.7,0.79,51,98.2,50.04
EP-00130,MEES-PV-05,2025-12-01,16,438,5840,0.8,36,98.3,49.96
EP-00131,MEES-PV-06,2025-12-01,8,336,4536,0.81,27,98.4,49.98
EP-00132,MEES-PV-06,2025-12-01,10,704,9621.4,0.82,40,98.4,50
EP-00133,MEES-PV-06,2025-12-01,12,926,12809.7,0.83,53,98.4,50.02
EP-00134,MEES-PV-06,2025-12-01,14,804,11256,0.84,51,98.5,50.04
EP-00135,MEES-PV-06,2025-12-01,16,422,5345.3,0.76,36,97.8,49.96
EP-00136,GABARDAN-PV-01,2025-12-01,8,320,3745.3,0.77,27,97.8,49.98
EP-00137,GABARDAN-PV-01,2025-12-01,10,688,8156.9,0.78,40,97.9,50
EP-00138,GABARDAN-PV-01,2025-12-01,12,966,11599.7,0.79,53,98,50.02
EP-00139,GABARDAN-PV-01,2025-12-01,14,844,10263,0.8,51,98,50.04
EP-00140,GABARDAN-PV-01,2025-12-01,16,406,4998.7,0.81,36,98,49.96
EP-00141,GABARDAN-PV-02,2025-12-01,8,304,3789.1,0.82,27,98.1,49.98
EP-00142,GABARDAN-PV-02,2025-12-01,10,672,8478,0.83,40,98.1,50
EP-00143,GABARDAN-PV-02,2025-12-01,12,950,12129.6,0.84,53,98.2,50.02
EP-00144,GABARDAN-PV-02,2025-12-01,14,828,9565.1,0.76,51,98.2,50.04
EP-00145,GABARDAN-PV-02,2025-12-01,16,446,5220,0.77,36,98.3,49.96
EP-00146,GABARDAN-PV-03,2025-12-01,8,344,4078.5,0.78,27,98.4,49.98
EP-00147,GABARDAN-PV-03,2025-12-01,10,656,7877.2,0.79,40,98.4,50
EP-00148,GABARDAN-PV-03,2025-12-01,12,934,11357.4,0.8,53,98.4,50.02
EP-00149,GABARDAN-PV-03,2025-12-01,14,812,9997.3,0.81,51,98.5,50.04
EP-00150,GABARDAN-PV-03,2025-12-01,16,430,5359.5,0.82,36,97.8,49.96
EP-00151,GABARDAN-PV-04,2025-12-01,8,328,4138,0.83,27,97.8,49.98
EP-00152,GABARDAN-PV-04,2025-12-01,10,696,8886.5,0.84,40,97.9,50
EP-00153,GABARDAN-PV-04,2025-12-01,12,974,11251.6,0.76,53,98,50.02
EP-00154,GABARDAN-PV-04,2025-12-01,14,796,9316.4,0.77,51,98,50.04
EP-00155,GABARDAN-PV-04,2025-12-01,16,414,4908.4,0.78,36,98,49.96
EP-00156,GABARDAN-PV-05,2025-12-01,8,312,3746.5,0.79,27,98.1,49.98
EP-00157,GABARDAN-PV-05,2025-12-01,10,680,8268.8,0.8,40,98.1,50
EP-00158,GABARDAN-PV-05,2025-12-01,12,958,11794.9,0.81,53,98.2,50.02
EP-00159,GABARDAN-PV-05,2025-12-01,14,836,10419.9,0.82,51,98.2,50.04
EP-00160,GABARDAN-PV-05,2025-12-01,16,454,5727.7,0.83,36,98.3,49.96
EP-00161,MASSANGIS-PV-01,2025-12-01,8,296,2784.8,0.84,27,98.4,49.98
EP-00162,MASSANGIS-PV-01,2025-12-01,10,664,5652,0.76,40,98.4,50
EP-00163,MASSANGIS-PV-01,2025-12-01,12,942,8123.8,0.77,53,98.4,50.02
EP-00164,MASSANGIS-PV-01,2025-12-01,14,820,7163.5,0.78,51,98.5,50.04
EP-00165,MASSANGIS-PV-01,2025-12-01,16,438,3875.4,0.79,36,97.8,49.96
EP-00166,MASSANGIS-PV-02,2025-12-01,8,336,3010.6,0.8,27,97.8,49.98
EP-00167,MASSANGIS-PV-02,2025-12-01,10,704,6386.7,0.81,40,97.9,50
EP-00168,MASSANGIS-PV-02,2025-12-01,12,926,8504.4,0.82,53,98,50.02
EP-00169,MASSANGIS-PV-02,2025-12-01,14,804,7474,0.83,51,98,50.04
EP-00170,MASSANGIS-PV-02,2025-12-01,16,422,3970.2,0.84,36,98,49.96
EP-00171,MASSANGIS-PV-03,2025-12-01,8,320,2723.8,0.76,27,98.1,49.98
EP-00172,MASSANGIS-PV-03,2025-12-01,10,688,5933.3,0.77,40,98.1,50
EP-00173,MASSANGIS-PV-03,2025-12-01,12,966,8439,0.78,53,98.2,50.02
EP-00174,MASSANGIS-PV-03,2025-12-01,14,844,7467.7,0.79,51,98.2,50.04
EP-00175,MASSANGIS-PV-03,2025-12-01,16,406,3637.8,0.8,36,98.3,49.96
EP-00176,MASSANGIS-PV-04,2025-12-01,8,304,2757.9,0.81,27,98.4,49.98
EP-00177,MASSANGIS-PV-04,2025-12-01,10,672,6171.6,0.82,40,98.4,50
EP-00178,MASSANGIS-PV-04,2025-12-01,12,950,8831.2,0.83,53,98.4,50.02
EP-00179,MASSANGIS-PV-04,2025-12-01,14,828,7789.8,0.84,51,98.5,50.04
EP-00180,MASSANGIS-PV-04,2025-12-01,16,446,3796.4,0.76,36,97.8,49.96
EP-00181,MASSANGIS-PV-05,2025-12-01,8,344,2966.7,0.77,27,97.8,49.98
EP-00182,MASSANGIS-PV-05,2025-12-01,10,656,5730.8,0.78,40,97.9,50
EP-00183,MASSANGIS-PV-05,2025-12-01,12,934,8264,0.79,53,98,50.02
EP-00184,MASSANGIS-PV-05,2025-12-01,14,812,7275.5,0.8,51,98,50.04
EP-00185,MASSANGIS-PV-05,2025-12-01,16,430,3901,0.81,36,98,49.96
