ReadingId,ServerId,Timestamp,CPUPercent,MemoryPercent,DiskIOPS,NetworkMbps,QualityFlag,IsAnomaly
"TR-034","SRV-015","2024-10-01T20:00:00","24","70","250","1103","Good","false"
"TR-035","SRV-015","2024-10-01T09:45:00","42.1","90.2","1342","196","Degraded","true"
"TR-036","SRV-004","2024-10-01T09:45:00","29.7","83.3","5081","556","Degraded","true"
"TR-037","SRV-004","2024-10-01T09:00:00","53.7","80","4919","1103","Good","false"
"TR-038","SRV-004","2024-10-01T20:00:00","24.4","63.5","2388","745","Good","false"
"TR-039","SRV-004","2024-10-01T10:00:00","67.8","66","3479","1259","Good","false"
"TR-040","SRV-012","2024-10-01T10:30:00","54.8","46.2","3529","2499","Good","false"
"TR-041","SRV-012","2024-10-01T12:00:00","48.8","77.1","3377","2025","Good","false"
"TR-042","SRV-012","2024-10-01T09:15:00","81.6","35.2","1744","162","Good","false"
"TR-043","SRV-012","2024-10-01T10:15:00","34.5","58.8","510","257","Good","false"
"TR-044","SRV-001","2024-10-01T10:15:00","19.9","87.6","3226","1891","Good","false"
"TR-045","SRV-001","2024-10-01T14:00:00","50.2","77.4","4060","1404","Good","false"
"TR-046","SRV-001","2024-10-01T20:00:00","62.8","64.8","5131","1550","Degraded","true"
"TR-047","SRV-001","2024-10-01T09:45:00","63.6","67.2","4971","1627","Good","false"
"TR-048","SRV-014","2024-10-02T16:00:00","59.9","64.1","269","2412","Good","false"
"TR-049","SRV-014","2024-10-02T09:15:00","25.5","90.3","1042","2240","Degraded","true"
"TR-050","SRV-014","2024-10-02T10:30:00","55.1","42.5","716","642","Good","false"
"TR-051","SRV-014","2024-10-02T09:00:00","59.8","64.4","1972","623","Good","false"
"TR-052","SRV-008","2024-10-02T09:30:00","26.2","72.7","4969","1569","Good","false"
"TR-053","SRV-008","2024-10-02T09:00:00","36.5","38.5","3399","2039","Good","false"
"TR-054","SRV-008","2024-10-02T09:45:00","77.9","53.8","2881","2259","Good","false"
"TR-055","SRV-008","2024-10-02T10:15:00","84.7","78.5","1915","1151","Good","false"
"TR-056","SRV-006","2024-10-02T09:45:00","93.2","45.6","2332","371","Degraded","true"
"TR-057","SRV-006","2024-10-02T18:00:00","41.2","86","3125","1209","Good","false"
"TR-058","SRV-006","2024-10-02T14:00:00","77.8","49.5","693","1579","Good","false"
"TR-059","SRV-006","2024-10-02T09:00:00","40.8","52.7","458","1877","Good","false"
"TR-060","SRV-005","2024-10-02T14:00:00","54.5","52.7","1889","2164","Good","false"
"TR-061","SRV-005","2024-10-02T09:30:00","76.4","49.4","4163","444","Good","false"
"TR-062","SRV-005","2024-10-02T12:00:00","42.7","46.4","3894","1768","Good","false"
"TR-063","SRV-005","2024-10-02T09:45:00","30.8","35.4","4658","1089","Good","false"
"TR-064","SRV-001","2024-10-02T09:30:00","45.7","54.7","897","400","Good","false"
"TR-065","SRV-001","2024-10-02T20:00:00","77.7","37","2028","106","Good","false"
"TR-066","SRV-001","2024-10-02T12:00:00","74.1","59.5","1484","820","Good","false"
"TR-067","SRV-001","2024-10-02T09:00:00","15.1","81.8","4728","1785","Good","false"
"TR-068","SRV-003","2024-10-02T09:45:00","25.7","61.9","485","2397","Good","false"
"TR-069","SRV-003","2024-10-02T10:30:00","58.6","89.6","2141","297","Degraded","true"
"TR-070","SRV-003","2024-10-02T20:00:00","70.8","31.9","1144","2304","Good","false"
"TR-071","SRV-003","2024-10-02T16:00:00","50.7","39","2013","692","Good","false"
"TR-072","SRV-015","2024-10-02T20:00:00","94.4","33.1","2200","1708","Degraded","true"
"TR-073","SRV-015","2024-10-02T09:15:00","37.1","73.4","229","196","Good","false"
"TR-074","SRV-015","2024-10-02T09:30:00","15","91.5","5135","2038","Degraded","true"
"TR-075","SRV-015","2024-10-02T18:00:00","42.8","49.2","2176","1024","Good","false"
"TR-076","SRV-007","2024-10-02T09:00:00","84","62.8","814","448","Good","false"
"TR-077","SRV-007","2024-10-02T10:30:00","82.8","36.1","1269","2181","Good","false"
"TR-078","SRV-007","2024-10-02T14:00:00","32.7","31.4","3014","2326","Good","false"
"TR-079","SRV-007","2024-10-02T20:00:00","73","73.1","5479","1228","Degraded","true"
"TR-080","SRV-002","2024-10-03T16:00:00","61.3","59.8","1364","1890","Good","false"
"TR-081","SRV-002","2024-10-03T10:00:00","35.3","91.6","3906","1724","Degraded","true"
"TR-082","SRV-002","2024-10-03T09:15:00","72.7","78","3039","1449","Good","false"
"TR-083","SRV-002","2024-10-03T12:00:00","47.9","66.5","532","1975","Good","false"
"TR-084","SRV-008","2024-10-03T20:00:00","86.2","35","5225","1404","Degraded","true"
"TR-085","SRV-008","2024-10-03T10:15:00","59.1","87.8","4813","1032","Good","false"
"TR-086","SRV-008","2024-10-03T14:00:00","94.9","31","4490","967","Degraded","true"
"TR-087","SRV-008","2024-10-03T09:45:00","40.2","76","4670","1032","Good","false"
"TR-088","SRV-009","2024-10-03T16:00:00","52.3","45","4701","1265","Good","false"
"TR-089","SRV-009","2024-10-03T12:00:00","61.1","58","2225","845","Good","false"
"TR-090","SRV-009","2024-10-03T14:00:00","66.5","69.1","3882","187","Good","false"
"TR-091","SRV-009","2024-10-03T09:00:00","90","89","1663","878","Degraded","true"
"TR-092","SRV-013","2024-10-03T20:00:00","72","65.1","2049","305","Good","false"
"TR-093","SRV-013","2024-10-03T09:45:00","32.8","71.8","5217","1456","Degraded","true"
"TR-094","SRV-013","2024-10-03T14:00:00","71.9","42.7","2790","2496","Good","false"
"TR-095","SRV-013","2024-10-03T12:00:00","36.3","43.2","3542","1445","Good","false"
"TR-096","SRV-014","2024-10-03T09:45:00","26.6","57.6","2998","2165","Good","false"
"TR-097","SRV-014","2024-10-03T09:00:00","36.3","41.7","1194","1444","Good","false"
"TR-098","SRV-014","2024-10-03T12:00:00","78.6","34.7","1760","2444","Good","false"
"TR-099","SRV-014","2024-10-03T20:00:00","51.6","61.2","1560","515","Good","false"
"TR-100","SRV-012","2024-10-03T09:45:00","48.2","35.3","2460","757","Good","false"
"TR-101","SRV-012","2024-10-03T09:15:00","48.4","70.4","2534","1518","Good","false"
"TR-102","SRV-012","2024-10-03T10:15:00","35.4","74.8","452","957","Good","false"
"TR-103","SRV-012","2024-10-03T14:00:00","26.3","39.6","3654","1673","Good","false"
"TR-104","SRV-004","2024-10-03T09:00:00","17.4","37.4","3133","1915","Good","false"
"TR-105","SRV-004","2024-10-03T10:00:00","49.3","87.1","3799","1413","Good","false"
"TR-106","SRV-004","2024-10-03T16:00:00","87","58.6","1936","1904","Good","false"
"TR-107","SRV-004","2024-10-03T12:00:00","80.5","91.3","2103","2408","Degraded","true"
"TR-108","SRV-001","2024-10-03T14:00:00","44.2","39.1","316","1795","Good","false"
"TR-109","SRV-001","2024-10-03T12:00:00","80.3","79","5185","1228","Degraded","true"
"TR-110","SRV-001","2024-10-03T18:00:00","47.4","69.2","1350","2279","Good","false"
"TR-111","SRV-001","2024-10-03T09:15:00","32.4","44.1","4121","2319","Good","false"
"TR-112","SRV-012","2024-10-04T10:30:00","54.8","54.8","5245","114","Degraded","true"
"TR-113","SRV-012","2024-10-04T09:30:00","52.1","70.8","731","1172","Good","false"
"TR-114","SRV-012","2024-10-04T16:00:00","42.1","54.8","5353","596","Degraded","true"
"TR-115","SRV-012","2024-10-04T14:00:00","20.8","53.1","5125","1066","Degraded","true"
"TR-116","SRV-003","2024-10-04T10:30:00","85.5","48.6","1021","215","Good","false"
"TR-117","SRV-003","2024-10-04T16:00:00","75.9","69","3965","886","Good","false"
"TR-118","SRV-003","2024-10-04T10:00:00","72.6","87.7","1313","2198","Good","false"
"TR-119","SRV-003","2024-10-04T14:00:00","82.7","68.3","1651","2052","Good","false"
"TR-120","SRV-004","2024-10-04T14:00:00","65.5","64.6","4223","163","Good","false"
"TR-121","SRV-004","2024-10-04T09:15:00","19.4","76.6","5214","505","Degraded","true"
"TR-122","SRV-004","2024-10-04T10:30:00","93.1","89.3","4897","306","Degraded","true"
"TR-123","SRV-004","2024-10-04T20:00:00","84.2","65.5","1300","1812","Good","false"
"TR-124","SRV-006","2024-10-04T09:45:00","26.8","79.8","5242","2419","Degraded","true"
"TR-125","SRV-006","2024-10-04T10:00:00","56.6","61.6","486","1040","Good","false"
"TR-126","SRV-006","2024-10-04T16:00:00","82.9","47.7","945","339","Good","false"
"TR-127","SRV-006","2024-10-04T09:30:00","86.8","72.3","3980","1939","Good","false"
"TR-128","SRV-005","2024-10-04T12:00:00","53.5","45.7","323","1360","Good","false"
"TR-129","SRV-005","2024-10-04T09:45:00","73.5","88.9","5388","397","Degraded","true"
"TR-130","SRV-005","2024-10-04T09:30:00","64.9","34.6","200","2403","Good","false"
"TR-131","SRV-005","2024-10-04T09:00:00","24.6","47.2","3392","1997","Good","false"
"TR-132","SRV-002","2024-10-04T12:00:00","88.1","85.7","2952","1831","Good","false"
"TR-133","SRV-002","2024-10-04T16:00:00","33.6","73.8","382","1467","Good","false"
"TR-134","SRV-002","2024-10-04T20:00:00","69.8","83.6","3491","2379","Good","false"
"TR-135","SRV-002","2024-10-04T09:30:00","68.3","48.7","4166","204","Good","false"
"TR-136","SRV-001","2024-10-04T18:00:00","33.8","53.6","677","1982","Good","false"
"TR-137","SRV-001","2024-10-04T09:45:00","53.5","86.7","5097","1401","Degraded","true"
"TR-138","SRV-001","2024-10-04T20:00:00","80.9","54.3","1296","1191","Good","false"
"TR-139","SRV-001","2024-10-04T14:00:00","27.1","80.9","5099","2270","Degraded","true"
"TR-140","SRV-013","2024-10-04T09:00:00","30.9","69.2","986","1204","Good","false"
"TR-141","SRV-013","2024-10-04T18:00:00","29.2","78.2","1695","690","Good","false"
"TR-142","SRV-013","2024-10-04T10:30:00","28.2","67.9","2784","183","Good","false"
"TR-143","SRV-013","2024-10-04T09:45:00","61.4","32.2","482","780","Good","false"
"TR-144","SRV-012","2024-10-05T18:00:00","54.1","77.1","2622","1601","Good","false"
"TR-145","SRV-012","2024-10-05T12:00:00","30.7","61.6","1231","839","Good","false"
"TR-146","SRV-012","2024-10-05T09:15:00","59","70.5","1540","1118","Good","false"
"TR-147","SRV-012","2024-10-05T09:00:00","74.2","69.3","4374","1302","Good","false"
"TR-148","SRV-009","2024-10-05T12:00:00","18","86.8","5080","932","Degraded","true"
"TR-149","SRV-009","2024-10-05T10:15:00","35.6","34","230","2422","Good","false"
"TR-150","SRV-009","2024-10-05T10:00:00","35.5","58.4","1834","961","Good","false"
"TR-151","SRV-009","2024-10-05T10:30:00","21.6","72.9","3980","1316","Good","false"
"TR-152","SRV-006","2024-10-05T20:00:00","68.5","74.8","1766","193","Good","false"
"TR-153","SRV-006","2024-10-05T09:45:00","53.2","78.8","4657","487","Good","false"
"TR-154","SRV-006","2024-10-05T10:30:00","72.6","90.2","3721","599","Degraded","true"
"TR-155","SRV-006","2024-10-05T18:00:00","20.2","57.4","4774","1927","Good","false"
"TR-156","SRV-008","2024-10-05T09:15:00","53.7","67.1","2007","1630","Good","false"
"TR-157","SRV-008","2024-10-05T09:30:00","22.5","80.8","3590","1707","Good","false"
"TR-158","SRV-008","2024-10-05T18:00:00","51.4","62.3","4315","659","Good","false"
"TR-159","SRV-008","2024-10-05T10:00:00","62","83","4708","645","Good","false"
"TR-160","SRV-014","2024-10-05T14:00:00","32.3","33.4","470","1579","Good","false"
"TR-161","SRV-014","2024-10-05T10:30:00","85.7","73","2714","1017","Good","false"
"TR-162","SRV-014","2024-10-05T18:00:00","38","78.4","4553","1977","Good","false"
"TR-163","SRV-014","2024-10-05T16:00:00","36.2","43.4","1218","1502","Good","false"
"TR-164","SRV-005","2024-10-05T12:00:00","71","59.4","4055","61","Good","false"
"TR-165","SRV-005","2024-10-05T14:00:00","37.9","42.7","4729","845","Good","false"
"TR-166","SRV-005","2024-10-05T10:00:00","32.4","50.4","2236","1765","Good","false"
"TR-167","SRV-005","2024-10-05T09:15:00","64.7","62.3","974","492","Good","false"
"TR-168","SRV-001","2024-10-05T09:45:00","81","91.5","384","834","Degraded","true"
"TR-169","SRV-001","2024-10-05T10:30:00","93.3","86.3","438","2403","Degraded","true"
"TR-170","SRV-001","2024-10-05T12:00:00","42.3","50.3","4143","2100","Good","false"
"TR-171","SRV-001","2024-10-05T16:00:00","76.4","50.2","2446","366","Good","false"
"TR-172","SRV-004","2024-10-05T12:00:00","58.2","84","2827","603","Good","false"
"TR-173","SRV-004","2024-10-05T09:45:00","51","46.5","586","1734","Good","false"
"TR-174","SRV-004","2024-10-05T10:00:00","45.5","72.3","5075","990","Degraded","true"
"TR-175","SRV-004","2024-10-05T18:00:00","53.5","62.4","3007","2297","Good","false"
"TR-176","SRV-002","2024-10-06T09:30:00","92.6","37.2","4155","436","Degraded","true"
"TR-177","SRV-002","2024-10-06T16:00:00","20","40","5398","1316","Degraded","true"
"TR-178","SRV-002","2024-10-06T10:15:00","92.5","90","1054","85","Degraded","true"
"TR-179","SRV-002","2024-10-06T09:00:00","39.2","57.8","3382","2282","Good","false"
"TR-180","SRV-015","2024-10-06T12:00:00","82.5","79.3","2369","1685","Good","false"
"TR-181","SRV-015","2024-10-06T09:45:00","76.4","86.8","4366","2312","Good","false"
"TR-182","SRV-015","2024-10-06T10:00:00","37.6","69.6","4170","1032","Good","false"
"TR-183","SRV-015","2024-10-06T09:15:00","40.4","53.5","2718","686","Good","false"
"TR-184","SRV-014","2024-10-06T18:00:00","48.5","35.7","1144","862","Good","false"
"TR-185","SRV-014","2024-10-06T10:15:00","78.3","91.2","1367","801","Degraded","true"
"TR-186","SRV-014","2024-10-06T09:45:00","75.4","83.6","4811","1687","Good","false"
"TR-187","SRV-014","2024-10-06T10:00:00","30.1","31.9","3948","2154","Good","false"
"TR-188","SRV-008","2024-10-06T18:00:00","81.5","53.4","2810","2140","Good","false"
"TR-189","SRV-008","2024-10-06T10:30:00","35.1","48.6","404","1629","Good","false"
"TR-190","SRV-008","2024-10-06T14:00:00","48.3","87.9","1869","2124","Good","false"
"TR-191","SRV-008","2024-10-06T12:00:00","33","73.6","2019","301","Good","false"
"TR-192","SRV-001","2024-10-06T09:30:00","93.7","80.5","3842","1477","Degraded","true"
"TR-193","SRV-001","2024-10-06T09:45:00","57.8","63.1","3418","2167","Good","false"
"TR-194","SRV-001","2024-10-06T10:15:00","90.4","88","1447","2494","Degraded","true"
"TR-195","SRV-001","2024-10-06T14:00:00","47.5","49.9","4906","1984","Good","false"
"TR-196","SRV-010","2024-10-06T09:30:00","90.2","58.8","4195","1783","Degraded","true"
"TR-197","SRV-010","2024-10-06T20:00:00","63.7","39","1470","110","Good","false"
"TR-198","SRV-010","2024-10-06T14:00:00","35","43.8","3393","1024","Good","false"
"TR-199","SRV-010","2024-10-06T12:00:00","72.5","31.6","1835","783","Good","false"
"TR-200","SRV-013","2024-10-06T10:15:00","66.5","40.2","4309","1253","Good","false"
"TR-201","SRV-013","2024-10-06T09:45:00","36.1","90.4","3453","1977","Degraded","true"
"TR-202","SRV-013","2024-10-06T18:00:00","51.6","86.2","2587","50","Good","false"
"TR-203","SRV-013","2024-10-06T10:00:00","90.7","68.1","5442","1261","Degraded","true"
"TR-204","SRV-003","2024-10-06T09:00:00","64.3","37.3","1389","1611","Good","false"
"TR-205","SRV-003","2024-10-06T09:45:00","30.7","70.8","4709","2364","Good","false"
"TR-206","SRV-003","2024-10-06T20:00:00","56.6","78.2","2618","285","Good","false"
"TR-207","SRV-003","2024-10-06T10:30:00","81.2","75.4","4489","1508","Good","false"
"TR-208","SRV-009","2024-10-07T09:15:00","65.3","30.3","3964","2395","Good","false"
"TR-209","SRV-009","2024-10-07T20:00:00","69","63.6","1405","1955","Good","false"
"TR-210","SRV-009","2024-10-07T09:00:00","82.5","69.2","599","1975","Good","false"
"TR-211","SRV-009","2024-10-07T10:15:00","30","69.6","4226","2358","Good","false"
"TR-212","SRV-015","2024-10-07T14:00:00","15.5","57.8","4557","233","Good","false"
"TR-213","SRV-015","2024-10-07T10:00:00","40.1","63.9","855","1533","Good","false"
"TR-214","SRV-015","2024-10-07T09:00:00","71.2","45.8","640","1116","Good","false"
"TR-215","SRV-015","2024-10-07T12:00:00","86.7","69.2","4701","1089","Good","false"
"TR-216","SRV-004","2024-10-07T09:15:00","57.3","47.5","3149","130","Good","false"
"TR-217","SRV-004","2024-10-07T10:15:00","32","51.5","2285","1027","Good","false"
"TR-218","SRV-004","2024-10-07T10:00:00","80.9","65.9","663","1134","Good","false"
"TR-219","SRV-004","2024-10-07T10:30:00","26.3","46.4","5292","1155","Degraded","true"
"TR-220","SRV-010","2024-10-07T14:00:00","21.3","64.7","2617","1313","Good","false"
"TR-221","SRV-010","2024-10-07T09:15:00","61.8","34.8","5416","987","Degraded","true"
"TR-222","SRV-010","2024-10-07T09:30:00","70.3","90.3","1413","2325","Degraded","true"
"TR-223","SRV-010","2024-10-07T09:00:00","86.9","49.5","1362","1311","Good","false"
"TR-224","SRV-011","2024-10-07T14:00:00","59.5","59.9","2226","2231","Good","false"
"TR-225","SRV-011","2024-10-07T18:00:00","32.7","35","2426","1881","Good","false"
"TR-226","SRV-011","2024-10-07T10:15:00","47.6","66.8","3017","1483","Good","false"
"TR-227","SRV-011","2024-10-07T16:00:00","19.1","50.5","321","1670","Good","false"
"TR-228","SRV-003","2024-10-07T20:00:00","63","35.5","430","1771","Good","false"
"TR-229","SRV-003","2024-10-07T14:00:00","26.3","63.5","2029","267","Good","false"
"TR-230","SRV-003","2024-10-07T10:15:00","78","89.3","3882","1194","Degraded","true"
"TR-231","SRV-003","2024-10-07T16:00:00","85.5","77.7","371","2230","Good","false"
"TR-232","SRV-008","2024-10-07T18:00:00","65.2","86.6","2640","369","Good","false"
"TR-233","SRV-008","2024-10-07T14:00:00","17.2","40.6","4486","1783","Good","false"
"TR-234","SRV-008","2024-10-07T09:30:00","53.6","83.1","951","957","Good","false"
"TR-235","SRV-008","2024-10-07T09:15:00","54.4","77.7","2892","994","Good","false"
"TR-236","SRV-007","2024-10-07T09:30:00","48.7","72.6","3369","381","Good","false"
"TR-237","SRV-007","2024-10-07T20:00:00","83.7","86.4","4819","187","Good","false"
"TR-238","SRV-007","2024-10-07T18:00:00","83.5","43","3398","525","Good","false"
"TR-239","SRV-007","2024-10-07T10:00:00","34.2","59.6","5021","593","Degraded","true"
