OutputId,TurbineId,Date,Hour,WindSpeedMs,PowerOutputKW,CapacityFactor,RotorRPM,PitchAngleDeg,YawAngleDeg,GridFrequencyHz
"PO-032","WT-002","2024-11-16","18","21.1","6800","0.85","15.6","10.2","177","49.95"
"PO-033","WT-015","2024-11-16","0","9.7","5755","0.72","12.8","14.8","301","50.05"
"PO-034","WT-015","2024-11-16","6","4.1","2187","0.27","8.9","2.8","151","49.91"
"PO-035","WT-015","2024-11-16","12","6.2","3637","0.45","10.9","11.4","325","49.95"
"PO-036","WT-015","2024-11-16","18","17","7760","0.97","14.1","0","121","49.92"
"PO-037","WT-014","2024-11-16","0","4.2","2548","0.32","9.9","8.2","87","50.08"
"PO-038","WT-014","2024-11-16","6","11.5","6977","0.87","12.1","0","49","50.09"
"PO-039","WT-014","2024-11-16","12","17.4","7920","0.99","15","10.3","192","49.93"
"PO-040","WT-014","2024-11-16","18","9.1","4793","0.6","11.1","14.4","95","49.9"
"PO-041","WT-013","2024-11-16","0","13.6","7680","0.96","13.4","2.4","150","50.09"
"PO-042","WT-013","2024-11-16","6","7.1","4213","0.53","11","8.7","191","49.93"
"PO-043","WT-013","2024-11-16","12","18","6800","0.85","15.4","2.8","49","49.94"
"PO-044","WT-013","2024-11-16","18","18.3","6800","0.85","16.2","9.7","217","49.96"
"PO-045","WT-003","2024-11-16","0","9.9","4884","0.61","11.4","6.2","282","49.91"
"PO-046","WT-003","2024-11-16","6","15.6","6880","0.86","13.2","5.3","38","50"
"PO-047","WT-003","2024-11-16","12","4.9","2613","0.33","9","12","37","50.09"
"PO-048","WT-003","2024-11-16","18","10.9","5232","0.65","12.5","3.2","312","50.01"
"PO-049","WT-006","2024-11-16","0","6.3","3864","0.48","11.4","3.3","17","50.09"
"PO-050","WT-006","2024-11-16","6","20.6","7520","0.94","15.5","9.4","134","49.97"
"PO-051","WT-006","2024-11-16","12","3.9","2002","0.25","10.2","13","282","50.06"
"PO-052","WT-006","2024-11-16","18","13.5","7840","0.98","13.7","11.1","123","49.93"
"PO-053","WT-004","2024-11-16","0","13.2","6960","0.87","12.4","0.5","63","49.98"
"PO-054","WT-004","2024-11-16","6","4.8","2912","0.36","10","5.8","304","50.07"
"PO-055","WT-004","2024-11-16","12","12.2","7680","0.96","13.6","6","281","49.9"
"PO-056","WT-004","2024-11-16","18","9.5","5827","0.73","12.3","5.4","166","49.91"
"PO-057","WT-011","2024-11-16","0","6.7","3886","0.49","9.9","12","175","50.08"
"PO-058","WT-011","2024-11-16","6","13.4","7200","0.9","13.4","2.8","169","49.97"
"PO-059","WT-011","2024-11-16","12","12.5","7920","0.99","13.4","5.7","58","50.06"
"PO-060","WT-011","2024-11-16","18","10.5","4970","0.62","11.8","14.7","153","50.07"
"PO-061","WT-001","2024-11-17","0","5.6","3024","0.38","9.5","7.4","314","49.94"
"PO-062","WT-001","2024-11-17","6","10.3","6386","0.8","12.7","5.2","299","50.01"
"PO-063","WT-001","2024-11-17","12","21.1","7200","0.9","16.9","3.5","287","49.96"
"PO-064","WT-001","2024-11-17","18","4.4","2112","0.26","10.4","8","71","49.95"
"PO-065","WT-003","2024-11-17","0","3.1","1591","0.2","8.7","10.9","8","50.04"
"PO-066","WT-003","2024-11-17","6","11.8","6293","0.79","12.5","0.4","338","49.9"
"PO-067","WT-003","2024-11-17","12","21.5","6880","0.86","16.4","13.7","102","50.02"
"PO-068","WT-003","2024-11-17","18","11.3","5575","0.7","12.8","14.1","127","49.97"
"PO-069","WT-010","2024-11-17","0","5.3","3003","0.38","9.6","14.5","65","49.99"
"PO-070","WT-010","2024-11-17","6","17.9","6800","0.85","14.5","5.5","307","49.95"
"PO-071","WT-010","2024-11-17","12","18.9","6880","0.86","16.4","2.8","62","49.97"
"PO-072","WT-010","2024-11-17","18","17.1","7840","0.98","14.1","5","213","50.09"
"PO-073","WT-015","2024-11-17","0","9","4560","0.57","10.7","4.7","357","50.05"
"PO-074","WT-015","2024-11-17","6","15.1","7360","0.92","13","0.5","265","49.96"
"PO-075","WT-015","2024-11-17","12","20.2","6880","0.86","15.6","14.4","151","50.02"
"PO-076","WT-015","2024-11-17","18","3.3","1848","0.23","9.2","13.8","309","50.02"
"PO-077","WT-013","2024-11-17","0","14.4","7440","0.93","13.5","11.8","268","49.92"
"PO-078","WT-013","2024-11-17","6","11.3","6931","0.87","12","1.7","17","50.02"
"PO-079","WT-013","2024-11-17","12","12.8","7440","0.93","12.9","14.9","248","49.94"
"PO-080","WT-013","2024-11-17","18","19.8","7360","0.92","15.9","9.1","61","50"
"PO-081","WT-011","2024-11-17","0","14.4","7120","0.89","13.8","9.2","153","50.09"
"PO-082","WT-011","2024-11-17","6","15.5","6880","0.86","13.5","9.3","301","50.03"
"PO-083","WT-011","2024-11-17","12","12.4","7120","0.89","12.3","14.7","287","49.91"
"PO-084","WT-011","2024-11-17","18","4.4","2259","0.28","9.5","0.3","348","50.03"
"PO-085","WT-008","2024-11-17","0","14.2","7440","0.93","14.6","1","289","49.96"
"PO-086","WT-008","2024-11-17","6","5.9","3540","0.44","11.1","14.1","247","50.04"
"PO-087","WT-008","2024-11-17","12","13.3","7520","0.94","12.7","4.4","82","50.05"
"PO-088","WT-008","2024-11-17","18","19.2","7120","0.89","16.2","6.7","187","49.99"
"PO-089","WT-002","2024-11-17","0","16.6","7520","0.94","15.3","6.7","161","50.01"
"PO-090","WT-002","2024-11-17","6","5.9","3422","0.43","9.9","14.3","25","50.08"
"PO-091","WT-002","2024-11-17","12","11.7","5928","0.74","12.4","12.7","170","49.9"
"PO-092","WT-002","2024-11-17","18","20.6","7360","0.92","16","7.7","142","49.92"
"PO-093","WT-007","2024-11-17","0","7","4293","0.54","9.8","10.2","284","50.06"
"PO-094","WT-007","2024-11-17","6","4.9","2450","0.31","10.9","0.7","80","50"
"PO-095","WT-007","2024-11-17","12","8.2","5029","0.63","11.1","14.6","163","49.96"
"PO-096","WT-007","2024-11-17","18","17.9","7280","0.91","14.4","11.7","352","49.91"
"PO-097","WT-004","2024-11-17","0","15.6","6800","0.85","14.1","6.9","153","49.98"
"PO-098","WT-004","2024-11-17","6","8.2","5029","0.63","11","7.2","163","49.92"
"PO-099","WT-004","2024-11-17","12","12.9","7680","0.96","12.9","12.1","279","50.05"
"PO-100","WT-004","2024-11-17","18","9.3","4526","0.57","12.1","0.7","119","49.99"
"PO-101","WT-005","2024-11-18","0","3.4","2085","0.26","8.4","4.6","119","49.93"
"PO-102","WT-005","2024-11-18","6","10.7","6420","0.8","12.4","12.3","302","49.96"
"PO-103","WT-005","2024-11-18","12","5.3","2897","0.36","9.9","8.8","319","49.93"
"PO-104","WT-005","2024-11-18","18","3.9","2028","0.25","9.2","6.6","205","49.99"
"PO-105","WT-014","2024-11-18","0","10.3","5493","0.69","12.7","5.1","198","49.91"
"PO-106","WT-014","2024-11-18","6","9.3","4402","0.55","12.1","12.8","33","49.93"
"PO-107","WT-014","2024-11-18","12","18.3","6800","0.85","15","10.2","232","50.09"
"PO-108","WT-014","2024-11-18","18","18.1","7600","0.95","15.7","13.7","348","50.07"
"PO-109","WT-003","2024-11-18","0","4.1","2487","0.31","9.6","6.5","343","50.06"
"PO-110","WT-003","2024-11-18","6","7.6","3952","0.49","10.9","10.5","296","49.98"
"PO-111","WT-003","2024-11-18","12","14.4","7680","0.96","13.5","5.3","295","50.04"
"PO-112","WT-003","2024-11-18","18","17.1","7760","0.97","14.3","2.5","252","49.98"
"PO-113","WT-007","2024-11-18","0","9.4","5640","0.7","11.9","10.5","204","49.93"
"PO-114","WT-007","2024-11-18","6","18.6","7200","0.9","14.7","2.9","210","49.92"
"PO-115","WT-007","2024-11-18","12","5.9","3422","0.43","9.5","1","26","49.92"
"PO-116","WT-007","2024-11-18","18","9.4","4700","0.59","11.4","7.1","324","50.07"
"PO-117","WT-011","2024-11-18","0","6.9","3772","0.47","10.5","14.7","165","50"
"PO-118","WT-011","2024-11-18","6","7.7","4363","0.55","11.4","14.9","70","49.91"
"PO-119","WT-011","2024-11-18","12","11.9","6109","0.76","11.9","0.8","146","50"
"PO-120","WT-011","2024-11-18","18","15.1","6960","0.87","13.9","6.6","130","50.07"
"PO-121","WT-013","2024-11-18","0","3.8","1773","0.22","9","12.6","282","50.09"
"PO-122","WT-013","2024-11-18","6","10.5","4970","0.62","11.4","0.4","264","50.05"
"PO-123","WT-013","2024-11-18","12","4.2","2044","0.26","9.2","0.4","233","49.91"
"PO-124","WT-013","2024-11-18","18","20.5","7840","0.98","15.8","9","69","49.96"
"PO-125","WT-009","2024-11-18","0","4.3","2064","0.26","9.8","8.7","271","49.98"
"PO-126","WT-009","2024-11-18","6","17.8","7120","0.89","14.6","8.4","48","49.94"
"PO-127","WT-009","2024-11-18","12","20.2","7760","0.97","15.1","4.2","307","49.9"
"PO-128","WT-009","2024-11-18","18","10","4733","0.59","12.6","0.6","206","49.94"
"PO-129","WT-015","2024-11-18","0","8.4","4144","0.52","11","1.3","346","50.07"
"PO-130","WT-015","2024-11-18","6","6.1","3050","0.38","11","6.6","310","49.98"
"PO-131","WT-015","2024-11-18","12","20.7","6880","0.86","16.1","10.9","288","50.08"
"PO-132","WT-015","2024-11-18","18","20.9","7520","0.94","16.4","5.5","26","50.07"
"PO-133","WT-012","2024-11-18","0","4.5","2160","0.27","10.1","12.5","346","49.98"
"PO-134","WT-012","2024-11-18","6","7.4","4588","0.57","11.2","2.2","163","49.95"
"PO-135","WT-012","2024-11-18","12","10.2","4760","0.6","11.3","12.1","355","49.98"
"PO-136","WT-012","2024-11-18","18","21.1","6880","0.86","16.5","10.4","164","50.01"
"PO-137","WT-004","2024-11-18","0","18.6","7040","0.88","15.7","9.5","5","50.01"
"PO-138","WT-004","2024-11-18","6","6.3","3570","0.45","10.5","8","327","50.08"
"PO-139","WT-004","2024-11-18","12","20.4","7040","0.88","16.7","4.7","192","49.94"
"PO-140","WT-004","2024-11-18","18","21","7840","0.98","15.9","8.4","225","49.97"
"PO-141","WT-012","2024-11-19","0","20.5","7280","0.91","15.4","11.5","131","49.99"
"PO-142","WT-012","2024-11-19","6","13.7","7920","0.99","13.4","6.7","233","50.06"
"PO-143","WT-012","2024-11-19","12","15.4","7360","0.92","14.5","3.9","297","50.02"
"PO-144","WT-012","2024-11-19","18","13.1","6960","0.87","13.8","5.5","157","49.9"
"PO-145","WT-001","2024-11-19","0","21.4","7200","0.9","16.5","6.7","147","49.99"
"PO-146","WT-001","2024-11-19","6","14","7040","0.88","13.9","0.8","93","50.09"
"PO-147","WT-001","2024-11-19","12","5.3","2615","0.33","10.8","1.7","76","49.9"
"PO-148","WT-001","2024-11-19","18","10.4","5547","0.69","12.9","3.8","172","49.99"
"PO-149","WT-011","2024-11-19","0","5.5","3007","0.38","9.4","8","124","50.02"
"PO-150","WT-011","2024-11-19","6","3.6","1728","0.22","9.3","4.5","202","50.05"
"PO-151","WT-011","2024-11-19","12","19.6","7920","0.99","16.5","11.8","42","49.93"
"PO-152","WT-011","2024-11-19","18","14.5","6880","0.86","13.6","9.2","347","49.96"
"PO-153","WT-014","2024-11-19","0","6.2","3513","0.44","9.7","10.5","349","50.08"
"PO-154","WT-014","2024-11-19","6","5.4","2916","0.36","10.9","0.4","266","49.91"
"PO-155","WT-014","2024-11-19","12","12.6","7360","0.92","13.8","14.4","190","50.03"
"PO-156","WT-014","2024-11-19","18","10","4933","0.62","12.4","8.2","235","49.95"
"PO-157","WT-006","2024-11-19","0","18.8","6960","0.87","16.1","5.3","244","49.94"
"PO-158","WT-006","2024-11-19","6","11.4","5396","0.67","11.8","7.4","250","50.02"
"PO-159","WT-006","2024-11-19","12","17.7","6960","0.87","15.7","10.6","35","50.03"
"PO-160","WT-006","2024-11-19","18","20.6","7360","0.92","16.9","14.7","251","50.06"
"PO-161","WT-015","2024-11-19","0","14.5","7680","0.96","14.5","12.7","149","49.9"
"PO-162","WT-015","2024-11-19","6","11.1","6586","0.82","12.5","6.7","152","50.09"
"PO-163","WT-015","2024-11-19","12","19.6","6960","0.87","16.4","14.7","257","50.05"
"PO-164","WT-015","2024-11-19","18","10.5","6230","0.78","11.2","12.9","281","50"
"PO-165","WT-003","2024-11-19","0","9.8","5423","0.68","12.7","9.8","101","49.92"
"PO-166","WT-003","2024-11-19","6","11.5","6593","0.82","12.3","14.6","73","49.95"
"PO-167","WT-003","2024-11-19","12","8","4853","0.61","10.6","11.5","150","49.94"
"PO-168","WT-003","2024-11-19","18","10","5400","0.68","12.5","8.6","98","49.97"
"PO-169","WT-008","2024-11-19","0","15.2","7440","0.93","14.8","2.8","51","49.91"
"PO-170","WT-008","2024-11-19","6","4.3","2408","0.3","9.1","0.3","242","50.08"
"PO-171","WT-008","2024-11-19","12","15.8","7520","0.94","14.4","10.2","322","49.92"
"PO-172","WT-008","2024-11-19","18","9.2","4723","0.59","12","6.6","86","50.04"
"PO-173","WT-013","2024-11-19","0","5.8","3055","0.38","10.7","0.4","178","49.9"
"PO-174","WT-013","2024-11-19","6","15.2","7200","0.9","13.9","14.7","37","50.01"
"PO-175","WT-013","2024-11-19","12","12","7360","0.92","12.7","9","198","50.07"
"PO-176","WT-013","2024-11-19","18","13.4","7360","0.92","13.4","7.3","335","49.95"
"PO-177","WT-010","2024-11-19","0","21.4","6960","0.87","17","14.9","326","50"
"PO-178","WT-010","2024-11-19","6","7.5","4300","0.54","11.6","2.2","93","49.95"
"PO-179","WT-010","2024-11-19","12","11.7","6630","0.83","12.1","14.9","288","49.97"
"PO-180","WT-010","2024-11-19","18","19.4","7360","0.92","16.3","4","351","49.96"
"PO-181","WT-015","2024-11-20","0","10.5","5110","0.64","13.1","1","91","50.01"
"PO-182","WT-015","2024-11-20","6","12.3","6880","0.86","13","9","6","49.9"
"PO-183","WT-015","2024-11-20","12","18","7680","0.96","15.1","6.5","164","49.91"
"PO-184","WT-015","2024-11-20","18","18.7","7680","0.96","14.8","3.9","120","50.04"
"PO-185","WT-012","2024-11-20","0","3.1","1488","0.19","10.1","5.6","98","49.9"
"PO-186","WT-012","2024-11-20","6","11.2","5973","0.75","12.4","12.4","187","49.99"
"PO-187","WT-012","2024-11-20","12","11.7","5460","0.68","12.4","5.3","224","50.06"
"PO-188","WT-012","2024-11-20","18","18.6","7680","0.96","16.3","4.3","75","50"
"PO-189","WT-006","2024-11-20","0","18.1","7360","0.92","15.1","6.4","248","49.99"
"PO-190","WT-006","2024-11-20","6","8","4213","0.53","12.0","4.1","331","49.97"
"PO-191","WT-006","2024-11-20","12","12.1","7920","0.99","11.8","14.8","216","49.92"
"PO-192","WT-006","2024-11-20","18","5.2","2635","0.33","10.1","6.3","0","49.95"
"PO-193","WT-011","2024-11-20","0","10.7","5207","0.65","11.7","0.6","290","50.04"
"PO-194","WT-011","2024-11-20","6","6.1","3619","0.45","9.6","6.3","82","50"
"PO-195","WT-011","2024-11-20","12","20.7","7760","0.97","16.7","1.2","117","50.03"
"PO-196","WT-011","2024-11-20","18","10","5067","0.63","12.8","1.5","329","49.97"
"PO-197","WT-008","2024-11-20","0","7.6","4459","0.56","10.3","14.7","264","49.92"
"PO-198","WT-008","2024-11-20","6","12.7","7200","0.9","12.1","11.4","13","50.09"
"PO-199","WT-008","2024-11-20","12","9.1","5217","0.65","12.3","4.7","302","50.05"
"PO-200","WT-008","2024-11-20","18","3","1880","0.24","8.7","13.5","335","50.09"
"PO-201","WT-004","2024-11-20","0","20.5","6880","0.86","16.9","11","292","49.98"
"PO-202","WT-004","2024-11-20","6","17.1","7920","0.99","14.4","4.1","254","49.91"
"PO-203","WT-004","2024-11-20","12","19.5","7600","0.95","15","2.1","232","50.02"
"PO-204","WT-004","2024-11-20","18","5.9","3029","0.38","9.8","13.1","266","50.09"
"PO-205","WT-007","2024-11-20","0","9.2","4355","0.54","11.8","14.6","352","50"
"PO-206","WT-007","2024-11-20","6","17.8","7840","0.98","15.4","0.1","166","50"
"PO-207","WT-007","2024-11-20","12","11.6","7115","0.89","13.5","10.3","14","49.95"
"PO-208","WT-007","2024-11-20","18","10.3","5425","0.68","11.1","7.5","115","50.07"
"PO-209","WT-002","2024-11-20","0","8.1","4698","0.59","11.9","9.1","112","50.09"
"PO-210","WT-002","2024-11-20","6","10.7","5350","0.67","12.7","7.2","317","49.92"
"PO-211","WT-002","2024-11-20","12","11.8","5979","0.75","12.7","3","230","50.06"
"PO-212","WT-002","2024-11-20","18","14.3","7760","0.97","13.6","14.4","75","50.06"
"PO-213","WT-010","2024-11-20","0","16","7360","0.92","14.1","9.6","344","50.09"
"PO-214","WT-010","2024-11-20","6","15.4","7280","0.91","15","1.8","326","49.96"
"PO-215","WT-010","2024-11-20","12","11.2","6272","0.78","12.4","8.8","234","49.99"
"PO-216","WT-010","2024-11-20","18","5.1","2652","0.33","10.1","2.7","72","49.95"
"PO-217","WT-009","2024-11-20","0","15.4","7280","0.91","14.9","14.8","230","49.98"
"PO-218","WT-009","2024-11-20","6","12.3","6960","0.87","12.5","12.6","204","50.08"
"PO-219","WT-009","2024-11-20","12","16.4","6800","0.85","15","9.1","202","50.02"
"PO-220","WT-009","2024-11-20","18","16","7120","0.89","14.1","1.6","176","50.03"
