Timestamp,SensorId,Value,Quality
2025-12-01T00:10:00,SN006,686.1,Good
2025-12-01T00:10:00,SN007,28.5,Good
2025-12-01T00:10:00,SN008,61.8,Good
2025-12-01T00:10:00,SN011,1582.0,Good
2025-12-01T00:10:00,SN012,1645.8,Good
2025-12-01T00:10:00,SN017,984.5,Good
2025-12-01T00:10:00,SN018,32.6,Good
2025-12-01T00:10:00,SN019,1293.5,Good
2025-12-01T00:10:00,SN023,741.0,Good
2025-12-01T00:10:00,SN024,2448.5,Good
2025-12-01T00:10:00,SN030,654.8,Good
2025-12-01T00:10:00,SN031,1126.0,Good
2025-12-01T00:15:00,SN001,367.5,Good
2025-12-01T00:15:00,SN002,287.2,Good
2025-12-01T00:15:00,SN003,11320,Good
2025-12-01T00:15:00,SN004,0.78,Suspect
2025-12-01T00:15:00,SN005,311.5,Good
2025-12-01T00:15:00,SN006,686.5,Good
2025-12-01T00:15:00,SN011,1590.5,Good
2025-12-01T00:15:00,SN017,987.8,Good
2025-12-01T00:15:00,SN019,1298.5,Good
2025-12-01T00:15:00,SN023,744.2,Good
2025-12-01T00:15:00,SN024,2455.0,Good
2025-12-01T00:15:00,SN030,657.5,Good
2025-12-01T00:20:00,SN001,366.8,Good
2025-12-01T00:20:00,SN002,286.5,Good
2025-12-01T00:20:00,SN003,11290,Good
2025-12-01T00:20:00,SN004,0.45,Good
2025-12-01T00:20:00,SN005,310.2,Good
2025-12-01T00:20:00,SN006,685.0,Good
2025-12-01T00:20:00,SN011,1586.0,Good
2025-12-01T00:20:00,SN017,985.5,Good
2025-12-01T00:20:00,SN019,1296.0,Good
2025-12-01T00:20:00,SN023,742.8,Good
2025-12-01T00:20:00,SN024,2451.0,Good
2025-12-01T00:20:00,SN030,655.8,Good
2025-12-01T00:25:00,SN001,365.5,Good
2025-12-01T00:25:00,SN002,285.8,Good
2025-12-01T00:25:00,SN003,11260,Good
2025-12-01T00:25:00,SN004,0.41,Good
2025-12-01T00:25:00,SN011,1584.5,Good
2025-12-01T00:25:00,SN017,984.8,Good
2025-12-01T00:25:00,SN019,1294.5,Good
2025-12-01T00:25:00,SN023,741.5,Good
2025-12-01T00:25:00,SN024,2449.0,Good
2025-12-01T00:30:00,SN001,368.2,Good
2025-12-01T00:30:00,SN002,288.0,Good
2025-12-01T00:30:00,SN003,11350,Good
2025-12-01T00:30:00,SN004,0.82,Suspect
2025-12-01T00:30:00,SN005,312.0,Good
2025-12-01T00:30:00,SN006,687.2,Good
2025-12-01T00:30:00,SN007,28.8,Good
2025-12-01T00:30:00,SN008,64.2,Good
2025-12-01T00:30:00,SN011,1592.0,Good
2025-12-01T00:30:00,SN012,1652.8,Good
2025-12-01T00:30:00,SN017,988.5,Good
2025-12-01T00:30:00,SN018,32.8,Good
2025-12-01T00:30:00,SN019,1300.0,Good
2025-12-01T00:30:00,SN020,6.0,Good
2025-12-01T00:30:00,SN021,0.68,Good
2025-12-01T00:30:00,SN023,745.0,Good
2025-12-01T00:30:00,SN024,2458.0,Good
2025-12-01T00:30:00,SN025,740.2,Good
2025-12-01T00:30:00,SN026,0.54,Good
2025-12-01T00:30:00,SN027,926.8,Good
2025-12-01T00:30:00,SN028,920.2,Good
2025-12-01T00:30:00,SN029,89.0,Good
2025-12-01T00:30:00,SN030,658.2,Good
2025-12-01T00:30:00,SN031,1127.5,Good
2025-12-01T00:30:00,SN032,386500,Good
2025-12-01T00:30:00,SN033,12550,Good
2025-12-01T00:30:00,SN034,989.5,Good
2025-12-01T00:30:00,SN035,309.0,Good
2025-12-01T00:30:00,SN036,993.8,Good
2025-12-01T00:30:00,SN037,886.5,Good
2025-12-01T00:30:00,SN038,880.0,Good
2025-12-01T00:30:00,SN039,1582.5,Good
2025-12-01T00:30:00,SN040,56.2,Good
